"","pitcher_team","xba_150_bullpen","date"
"535","SF",0.254518796992481,"2023-05-18"
"536","STL",0.208537878787879,"2023-05-18"
"537","TB",0.238808823529412,"2023-05-18"
"538","TEX",0.274530303030303,"2023-05-18"
"539","TOR",0.219031496062992,"2023-05-18"
"540","WSH",0.29994696969697,"2023-05-18"
"541","ATL",0.253083333333333,"2023-05-19"
"542","AZ",0.247210144927536,"2023-05-19"
"543","BAL",0.218643939393939,"2023-05-19"
"544","BOS",0.331489208633094,"2023-05-19"
"545","CHC",0.275659259259259,"2023-05-19"
"546","CIN",0.23144696969697,"2023-05-19"
"547","CLE",0.264379562043796,"2023-05-19"
"548","COL",0.209220472440945,"2023-05-19"
"549","CWS",0.242827338129496,"2023-05-19"
"550","DET",0.223207142857143,"2023-05-19"
"551","HOU",0.237300751879699,"2023-05-19"
"552","KC",0.192705426356589,"2023-05-19"
"553","LAA",0.265485915492958,"2023-05-19"
"554","LAD",0.257459259259259,"2023-05-19"
"555","MIA",0.232866666666667,"2023-05-19"
"556","MIL",0.254330769230769,"2023-05-19"
"557","MIN",0.248088709677419,"2023-05-19"
"558","NYM",0.233976923076923,"2023-05-19"
"559","NYY",0.264007462686567,"2023-05-19"
"560","OAK",0.237529411764706,"2023-05-19"
"561","PHI",0.180563909774436,"2023-05-19"
"562","PIT",0.220812030075188,"2023-05-19"
"563","SD",0.195917910447761,"2023-05-19"
"564","SEA",0.238226277372263,"2023-05-19"
"565","SF",0.254518796992481,"2023-05-19"
"566","STL",0.201757575757576,"2023-05-19"
"567","TB",0.243485507246377,"2023-05-19"
"568","TEX",0.274530303030303,"2023-05-19"
"569","TOR",0.2121640625,"2023-05-19"
"570","WSH",0.307942028985507,"2023-05-19"
"571","ATL",0.251651515151515,"2023-05-20"
"572","AZ",0.253153284671533,"2023-05-20"
"573","BAL",0.22930303030303,"2023-05-20"
"574","BOS",0.324384057971014,"2023-05-20"
"575","CHC",0.256844444444444,"2023-05-20"
"576","CIN",0.226022556390977,"2023-05-20"
"577","CLE",0.258153284671533,"2023-05-20"
"578","COL",0.214765625,"2023-05-20"
"579","CWS",0.2484,"2023-05-20"
"580","DET",0.214877697841727,"2023-05-20"
"581","HOU",0.228813432835821,"2023-05-20"
"582","KC",0.185476923076923,"2023-05-20"
"583","LAA",0.267992957746479,"2023-05-20"
"584","LAD",0.264977777777778,"2023-05-20"
"585","MIA",0.229345588235294,"2023-05-20"
"586","MIL",0.254828125,"2023-05-20"
